CASP3	CASP8	106.37671396987628	81300
CASP1	CASP8	95.22546465602204	58848
CAPN1	CASP7	80.0978688128387	99428
SUV39H1	THRA	78.3657588918141	50499
SMN1	SMN2	71.19112164124653	37313
CASP8	TNFAIP3	70.00674237164878	227217
CASP8	TRAF2	64.48858871929156	141315
CDK2	FLNA	62.868519724840695	293602
TLR3	TRAF6	58.76601520905899	276230
SUN2	SYNE2	57.96973079129839	2461808
KEAP1	PDCD6IP	56.89200563841885	279022
JUP	PLEC	56.20052540483135	1938096
C1S	FN1	56.15009064750353	1011579
CASP3	CASP7	55.987364174848835	40765
BRCA2	CDK2	55.40981377355479	403407
HSP90AA1	PDGFRB	54.66728649809619	253360
RB1	SMARCA4	53.6577259566003	372197
EIF4A1	HSPA5	52.198863030948814	36680
CASP8	RIPK1	51.091772664308166	156009
NUP214	RANBP2	50.89872990995468	4181619
C3	FN1	50.43159715691468	1941372
EZH2	SNRNP200	50.396597413256174	274706
EP300	NOTCH1	50.141967311631845	2821412
RIPK1	TLR3	49.89669453927388	307521
FLNA	FN1	49.39431149285247	3515790
CASP8	IKBKB	49.39041892375042	200580
FLNA	MYH9	49.0882405235003	1973960
CASP8	TRAF6	48.983879747321794	140130
BCAR1	HSPA5	48.78312813878239	221148
BCAR1	SRC	48.65728024851174	161469
MASP1	MASP2	48.258490106989825	304362
EIF4A1	PABPC1	48.172634523711736	30762
EGFR	PDGFRB	47.892649881331465	691957
APAF1	CASP8	47.772313144725956	367026
EPRS	NEDD4	47.26451405711424	536314
IFIT1	ISG15	47.20317049942071	49267
EIF4A1	FN1	46.511742098555246	228468
CASP3	CASP6	46.11280162511537	41400
CASP7	CASP8	46.065430905281914	75108
F11	GP1BA	46.04627496601944	137410
EGFR	HSP90AA1	45.947643841100444	254335
NCOA1	RXRA	45.59420510872644	251743
CASP2	CASP7	45.583876039270535	53589
F2	FN1	45.48553538647218	792996
BMI1	PLEC	45.38531108056938	729568
NOTCH1	NOTCH2	45.24802857751649	3101153
CSNK1E	CTNND1	45.12822661729035	91541
NCOR1	TAF9	44.99240066200991	163980
ANK1	SPTB	44.82389291124838	2234388
JUP	ZFYVE9	44.52801322287971	473673
HSP90AA1	NR3C1	44.3666484810023	175760
AKT2	EGFR	44.325234504638104	177780
RANBP2	SIRT1	44.159667261799655	923301
DDX58	ISG15	43.876230182049596	70950
EIF4A1	HSP90AB1	43.72490671069323	43786
EZH2	RARA	43.61535095947157	68696
BCAR1	LCK	43.60600419293945	260233
BCL2	KEAP1	43.53141252136365	73815
CASP3	CDK2	43.41536814918868	32795
RIPK1	TNFAIP3	43.35697627499826	236625
EGFR	RANGAP1	43.19156319500951	321083
EIF4A1	EIF4G2	43.183057090817314	66456
BCAR1	DOCK1	43.17961313997219	747624
FLNA	ITGA4	43.11988786155018	1367910
CDK2	HSP90AA1	43.10262708335952	47650
RB1	SUV39H1	42.98614269799384	150889
LCK	NOTCH1	42.90009596072866	633325
CCND1	THRA	42.869050236685666	31243
PRKAA2	WWP1	42.6303156585468	115073
JAG1	NOTCH2	42.546931706288376	1302737
JUP	XRCC5	42.45825216978997	220952
EIF4A1	ITGA4	42.214427234538405	88944
CASP1	EGFR	42.19454996228518	126724
PCBP1	POT1	41.701542579663226	111941
FN1	PXN	41.62057791266511	639648
CUL3	SNRNP200	41.57273007113889	298695
FLNA	HSP90AA1	41.44338837212726	573860
LIG4	XRCC6	41.42043409287328	294263
FN1	SNRNP200	41.311641340970695	1674735
JAK3	KIT	41.26941712889101	647220
EIF4A1	YWHAZ	41.221177998402766	13714
SRC	SYK	41.151039657755646	83341
JAK1	JAK3	41.118517338735955	736529
SUV39H1	U2AF1	41.099162541909465	16142
CREBBP	ESR2	41.044865552419594	585685
CASP2	CASP8	40.75774191188145	106866
EP300	PPARA	40.70562493024923	479951
AKT2	HSP90AA1	40.69395548934898	65095
EP300	STAT1	40.65811671671953	884708
FLNA	RPA1	40.65685187790416	754524
BRCA2	FLNA	40.64182202388395	4860766
CBL	KIT	40.6290489707568	324383
ISG15	NEDD4	40.624743585271744	74494
EPRS	RPA2	40.4440326941741	147895
EGFR	FN1	40.33222862537605	1558092
FLNA	ISG15	40.326916870899936	236926
CTNND1	EGFR	40.30309953831758	568565
NCOA1	VDR	40.28292502945155	274785
HSP90AA1	WWP1	40.163991975579165	156695
FN1	ITGA4	40.11492447767694	1359888
EGFR	JAK2	40.015029078789524	633701
EIF4A1	EIF4A2	39.97921533018274	15116
BCAR1	PIK3R1	39.96073370455335	291942
CASP3	XIAP	39.72600734856417	81295
FLNA	HSP90AB1	39.67046631704184	673546
